Tract,UVX,UVY
0,479.0,673.0
1,324.0,125.0
2,179.0,376.0
3,321.0,105.0
4,750.0,560.0
5,318.0,576.0
6,101.0,295.0
7,725.0,661.0
8,247.0,472.0
9,366.0,551.0
10,531.0,759.0
11,284.0,863.0
12,543.0,855.0
13,645.0,788.0
14,842.0,497.0
15,148.0,99.0
16,170.0,483.0
17,232.0,497.0
18,712.0,264.0
19,683.0,714.0
20,615.0,340.0
21,348.0,901.0
22,506.0,951.0
23,607.0,700.0
24,434.0,877.0
25,423.0,152.0
26,329.0,605.0
27,629.0,871.0
28,441.0,708.0
29,768.0,953.0
30,821.0,572.0
31,271.0,704.0
32,435.0,935.0
33,577.0,430.0
34,497.0,422.0
35,796.0,646.0
36,506.0,468.0
37,803.0,441.0
38,552.0,710.0
39,660.0,487.0
40,753.0,859.0
41,333.0,679.0
42,768.0,483.0
43,537.0,325.0
44,691.0,609.0
45,766.0,794.0
46,163.0,537.0
47,86.0,514.0
48,91.0,363.0
49,519.0,557.0
50,394.0,312.0
51,777.0,925.0
52,397.0,802.0
53,599.0,933.0
54,290.0,363.0
55,491.0,775.0
56,234.0,247.0
57,663.0,508.0
58,788.0,720.0
59,49.0,468.0
60,403.0,430.0
61,256.0,591.0
62,321.0,757.0
63,562.0,266.0
64,669.0,937.0
65,172.0,306.0
66,722.0,786.0
67,712.0,869.0
68,590.0,595.0
69,558.0,653.0
70,666.0,663.0
71,478.0,586.0
