Tract index,CALI
1,-0.09283188270238851
2,-0.05953489027847325
3,-0.06399794942725257
4,-0.07591182881253955
5,-0.055586843310809986
6,-0.06171793815916693
7,-0.08173922042350301
8,-0.07495934152604167
9,-0.05795170204760847
10,-0.08342662425695635
11,-0.11603997197871374
12,-0.08678268960442603
13,-0.09497508784264275
14,-0.08318756468298294
15,-0.10055049560536877
16,-0.0711052666185571
17,-0.05184737665005379
18,-0.09393052475359276
19,-0.05005419965530311
whole GM,13.60218340784458
