Tract index,P
1,[0.17897807 0.82102193]
2,[0.16080906 0.83919094]
3,[0.27377433 0.72622567]
4,[0.23712989 0.76287011]
5,[0.15398486 0.84601514]
6,[0.17843294 0.82156706]
7,[0.20196598 0.79803402]
8,[0.27130055 0.72869945]
9,[0.19220927 0.80779073]
10,[0.23983741 0.76016259]
11,[0.12522089 0.87477911]
12,[0.21494756 0.78505244]
13,[0.0667159 0.9332841]
14,[0.1429964 0.8570036]
15,[0.22591789 0.77408211]
16,[0.26142708 0.73857292]
17,[0.20948128 0.79051872]
18,[0.20014839 0.79985161]
19,[0.33961732 0.66038268]
whole GM,14.447000403123088
