Tract,logZi,time,logZi/logZ
V1,14.829451818039624,20.331547021865845,0.9076275177883344
V2,14.776908481234539,21.97941493988037,0.8999162816419528
V3,14.504031904182023,21.84033203125,0.739108084388118
V4,14.740174008185367,20.743112802505493,0.8761784378634444
V5,14.78892920721419,23.223568201065063,0.8949949610261186
V6,15.044056549511371,19.330637216567993,1.1737387334967613
V7,14.665891810505833,22.061443090438843,0.8332165486150613
V8,14.61690024647015,18.090471982955933,0.7211002161755784
V9,14.833496269770862,18.623036861419678,0.9686407291149531
V10,14.798332980470446,23.764742851257324,0.8745537302386946
V11,14.754000524535076,19.1010160446167,0.8241705828299151
V12,14.710130570627864,21.526127815246582,0.7983208414287458
V13,14.561618444134114,25.216172218322754,0.8549583165465117
V14,14.8187037476854,20.660635232925415,0.9884222741129959
V15,15.06539979628337,20.68119215965271,1.0930962512337634
V16,14.723564696465603,20.572888135910034,0.82629342883909
V17,14.51658113641404,15.328811883926392,0.7521942866832791
V18,14.922041007196826,16.26309585571289,0.9740062875969622
V19,14.726998646023336,15.868396997451782,0.8324597739057306
whole GM,15.076385529453106,14.529923677444458,N/A
